imdbID,Title,Year,Runtime,Genre,Awards,BoxOffice,Ratings,Language,Director,Actors
tt1160419,Dune,2021,155 min,"Action, Adventure, Drama",Won 6 Oscars. 174 wins & 294 nominations total,"$108,897,830 ","[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '74/100'}]","English, Mandarin",Denis Villeneuve,"Timothée Chalamet, Rebecca Ferguson, Zendaya"
tt0439572,The Flash,2023,144 min,"Action, Adventure, Fantasy",4 wins & 7 nominations,"$108,133,313 ","[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",English,Andy Muschietti,"Ezra Miller, Michael Keaton, Sasha Calle"
tt11291274,The Unbearable Weight of Massive Talent,2022,107 min,"Action, Comedy, Crime",3 wins & 23 nominations,"$20,300,157 ","[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '68/100'}]","English, Spanish",Tom Gormican,"Nicolas Cage, Pedro Pascal, Tiffany Haddish"
tt8093700,The Woman King,2022,135 min,"Action, Drama, History",Nominated for 2 BAFTA 28 wins & 124 nominations total,"$67,328,130 ","[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '77/100'}]","English, Portuguese, Fon",Gina Prince-Bythewood,"Viola Davis, Thuso Mbedu, Lashana Lynch"
tt8178634,RRR,2022,187 min,"Action, Adventure, Drama",Won 1 Oscar. 83 wins & 150 nominations total,"$15,156,051 ","[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '83/100'}]","Telugu, English, Hindi, Malayalam, Tamil, Kannada",S.S. Rajamouli,"N.T. Rama Rao Jr., Ram Charan, Ajay Devgn"
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,178 min,"Action, Adventure, Drama",Won 4 Oscars. 125 wins & 127 nominations total,"$318,572,165 ","[{'Source': 'Internet Movie Database', 'Value': '8.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '92/100'}]","English, Sindarin",Peter Jackson,"Elijah Wood, Ian McKellen, Orlando Bloom"
tt4873118,The Covenant,2023,123 min,"Action, Drama, Thriller",1 win & 3 nominations,"$16,938,039 ","[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '63/100'}]","English, Dari",Guy Ritchie,"Jake Gyllenhaal, Dar Salim, Sean Sagar"
tt10648342,Thor: Love and Thunder,2022,118 min,"Action, Adventure, Comedy",3 wins & 21 nominations,"$343,256,830 ","[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",English,Taika Waititi,"Chris Hemsworth, Natalie Portman, Christian Bale"
tt2906216,Dungeons & Dragons: Honor Among Thieves,2023,134 min,"Action, Adventure, Comedy",3 wins & 20 nominations,"$93,277,026 ","[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Metacritic', 'Value': '72/100'}]",English,"John Francis Daley, Jonathan Goldstein","Chris Pine, Michelle Rodriguez, Regé-Jean Page"
tt15829724,The Locksmith,2023,92 min,"Action, Crime, Mystery",N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '32%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",English,Nicolas Harvard,"Ving Rhames, Kate Bosworth, Ryan Phillippe"
tt0468569,The Dark Knight,2008,152 min,"Action, Crime, Drama",Won 2 Oscars. 163 wins & 164 nominations total,"$534,987,076 ","[{'Source': 'Internet Movie Database', 'Value': '9.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '84/100'}]","English, Mandarin",Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart"
tt1375666,Inception,2010,148 min,"Action, Adventure, Sci-Fi",Won 4 Oscars. 159 wins & 220 nominations total,"$292,587,330 ","[{'Source': 'Internet Movie Database', 'Value': '8.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '74/100'}]","English, Japanese, French",Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page"
tt10872600,Spider-Man: No Way Home,2021,148 min,"Action, Adventure, Fantasy",Nominated for 1 Oscar. 35 wins & 71 nominations total,"$814,115,070 ","[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",English,Jon Watts,"Tom Holland, Zendaya, Benedict Cumberbatch"
tt1462764,Indiana Jones and the Dial of Destiny,2023,154 min,"Action, Adventure, Sci-Fi",Nominated for 1 Oscar. 7 wins & 33 nominations total,"$174,480,468 ","[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '58/100'}]","English, German, Greek, Ancient (to 1453), Spanish, Italian",James Mangold,"Harrison Ford, Phoebe Waller-Bridge, Antonio Banderas"
tt10366206,John Wick: Chapter 4,2023,169 min,"Action, Crime, Thriller",32 wins & 46 nominations,"$187,131,806 ","[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '78/100'}]","English, Russian, Japanese, Spanish, German, Latin, Cantonese, French",Chad Stahelski,"Keanu Reeves, Laurence Fishburne, George Georgiou"
tt0172495,Gladiator,2000,155 min,"Action, Adventure, Drama",Won 5 Oscars. 60 wins & 104 nominations total,"$187,705,427 ","[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",English,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen"
tt4154796,Avengers: Endgame,2019,181 min,"Action, Adventure, Drama",Nominated for 1 Oscar. 70 wins & 133 nominations total,"$858,373,000 ","[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '78/100'}]","English, Japanese, Xhosa, German","Anthony Russo, Joe Russo","Robert Downey Jr., Chris Evans, Mark Ruffalo"
tt22769820,Legion of Super-Heroes,2023,83 min,"Animation, Action, Sci-Fi",N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",English,Jeff Wamester,"Meg Donnelly, Harry Shum Jr., Jensen Ackles"
tt12261776,65,2023,93 min,"Action, Adventure, Drama",1 nomination,"$32,062,904 ","[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",English,"Scott Beck, Bryan Woods","Adam Driver, Ariana Greenblatt, Chloe Coleman"
tt13614388,Little Dixie,2023,105 min,"Action, Crime, Thriller",N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}]","English, Spanish",John Swab,"Frank Grillo, Eric Dane, Beau Knapp"
tt15600222,An Action Hero,2022,130 min,"Action, Comedy, Crime",5 wins & 17 nominations,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}]",Hindi,Anirudh Iyer,"Ayushmann Khurrana, Jaideep Ahlawat, Gautam Joglekar"
tt10298840,Strange World,2022,102 min,"Animation, Action, Adventure",9 nominations,"$37,968,963 ","[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",English,"Don Hall, Qui Nguyen","Jake Gyllenhaal, Jaboukie Young-White, Gabrielle Union"
tt2911666,John Wick,2014,101 min,"Action, Crime, Thriller",5 wins & 10 nominations,"$43,037,835 ","[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '68/100'}]","English, Russian, Hungarian",Chad Stahelski,"Keanu Reeves, Michael Nyqvist, Alfie Allen"
tt8367814,The Gentlemen,2019,113 min,"Action, Crime",1 win & 4 nominations,"$36,471,795 ","[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '51/100'}]","English, Russian, Spanish, Chinese",Guy Ritchie,"Matthew McConaughey, Charlie Hunnam, Michelle Dockery"
tt1856101,Blade Runner 2049,2017,164 min,"Action, Drama, Mystery",Won 2 Oscars. 100 wins & 163 nominations total,"$92,071,675 ","[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '81/100'}]","English, Finnish, Japanese, Hungarian, Russian, Somali, Spanish",Denis Villeneuve,"Harrison Ford, Ryan Gosling, Ana de Armas"
tt5433138,F9: The Fast Saga,2021,143 min,"Action, Crime, Thriller",2 wins & 13 nominations,"$173,005,945 ","[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}, {'Source': 'Metacritic', 'Value': '58/100'}]","English, Japanese, Spanish",Justin Lin,"Vin Diesel, Michelle Rodriguez, Jordana Brewster"
tt12003946,Violent Night,2022,112 min,"Action, Comedy, Thriller",1 win & 2 nominations,"$50,057,405 ","[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",English,Tommy Wirkola,"David Harbour, John Leguizamo, Beverly D'Angelo"
tt10242388,Last Seen Alive,2022,95 min,"Action, Adventure, Crime",N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '13%'}]",English,Brian Goodman,"Gerard Butler, Jaimie Alexander, Russell Hornsby"
tt7888964,Nobody,2021,92 min,"Action, Crime, Drama",5 wins & 18 nominations,"$27,568,035 ","[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '64/100'}]","English, Russian, Spanish",Ilya Naishuller,"Bob Odenkirk, Aleksey Serebryakov, Connie Nielsen"
tt0133093,The Matrix,1999,136 min,"Action, Sci-Fi",Won 4 Oscars. 42 wins & 52 nominations total,"$172,076,928 ","[{'Source': 'Internet Movie Database', 'Value': '8.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",English,"Lana Wachowski, Lilly Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss"
tt1649418,The Gray Man,2022,122 min,"Action, Thriller",6 nominations,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",English,"Joe Russo, Anthony Russo","Ryan Gosling, Chris Evans, Ana de Armas"
tt6791350,Guardians of the Galaxy Vol. 3,2023,150 min,"Action, Adventure, Comedy",Nominated for 1 Oscar. 11 wins & 83 nominations total,"$358,995,815 ","[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",English,James Gunn,"Chris Pratt, Chukwudi Iwuji, Bradley Cooper"
tt0082971,Raiders of the Lost Ark,1981,115 min,"Action, Adventure",Won 4 Oscars. 38 wins & 24 nominations total,"$248,159,971 ","[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '85/100'}]","English, German, Spanish, Nepali, Hebrew, Arabic",Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman"
tt0116629,Independence Day,1996,145 min,"Action, Adventure, Sci-Fi",Won 1 Oscar. 35 wins & 35 nominations total,"$306,169,268 ","[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",English,Roland Emmerich,"Will Smith, Bill Pullman, Jeff Goldblum"
tt0446029,Scott Pilgrim vs. the World,2010,112 min,"Action, Comedy, Fantasy",18 wins & 66 nominations,"$33,391,900 ","[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",English,Edgar Wright,"Michael Cera, Mary Elizabeth Winstead, Kieran Culkin"
tt0232500,The Fast and the Furious,2001,106 min,"Action, Crime, Thriller",11 wins & 18 nominations,"$144,745,925 ","[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}, {'Source': 'Metacritic', 'Value': '58/100'}]","English, Spanish",Rob Cohen,"Vin Diesel, Paul Walker, Michelle Rodriguez"
tt3291150,The Expendables 4,2023,103 min,"Action, Adventure, Thriller",2 wins & 7 nominations,"$16,710,153 ","[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '14%'}]",English,Scott Waugh,"Jason Statham, 50 Cent, Megan Fox"
tt0115624,Barb Wire,1996,98 min,"Action, Sci-Fi",1 win & 7 nominations,"$3,793,614 ","[{'Source': 'Internet Movie Database', 'Value': '3.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '28%'}, {'Source': 'Metacritic', 'Value': '40/100'}]","English, French, German",David Hogan,"Pamela Anderson, Amir AboulEla, Adriana Alexander"
tt2382320,No Time to Die,2021,163 min,"Action, Adventure, Thriller",Won 1 Oscar. 44 wins & 76 nominations total,"$160,891,007 ","[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '68/100'}]","English, French, Italian, Russian, Spanish, Norwegian, German",Cary Joji Fukunaga,"Daniel Craig, Ana de Armas, Rami Malek"
tt1464335,Uncharted,2022,116 min,"Action, Adventure",3 nominations,"$148,648,820 ","[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Metacritic', 'Value': '45/100'}]","English, Spanish, Latin",Ruben Fleischer,"Tom Holland, Mark Wahlberg, Antonio Banderas"
tt6723592,Tenet,2020,150 min,"Action, Sci-Fi, Thriller",Won 1 Oscar. 49 wins & 136 nominations total,"$58,504,105 ","[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '69/100'}]","English, Russian, Ukrainian, Estonian, Norwegian, Hindi",Christopher Nolan,"John David Washington, Robert Pattinson, Elizabeth Debicki"
tt10151854,Shazam! Fury of the Gods,2023,130 min,"Action, Adventure, Comedy",6 nominations,"$57,638,006 ","[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",English,David F. Sandberg,"Zachary Levi, Asher Angel, Jack Dylan Grazer"
tt0113277,Heat,1995,170 min,"Action, Crime, Drama",15 nominations,"$67,436,818 ","[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '76/100'}]","English, Spanish",Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer"
tt6334354,The Suicide Squad,2021,132 min,"Action, Adventure, Comedy",4 wins & 42 nominations,"$55,817,425 ","[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Metacritic', 'Value': '72/100'}]","English, Spanish, Japanese, Cantonese",James Gunn,"Margot Robbie, Idris Elba, John Cena"
tt0120616,The Mummy,1999,124 min,"Action, Adventure, Fantasy",Nominated for 1 Oscar. 5 wins & 24 nominations total,"$157,095,368 ","[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '62%'}, {'Source': 'Metacritic', 'Value': '48/100'}]","English, Egyptian (Ancient), Arabic, Chinese, Hebrew, Hungarian",Stephen Sommers,"Brendan Fraser, Rachel Weisz, John Hannah"
tt5013056,Dunkirk,2017,106 min,"Action, Drama, History",Won 3 Oscars. 66 wins & 236 nominations total,"$189,740,665 ","[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '94/100'}]","English, French, German",Christopher Nolan,"Fionn Whitehead, Barry Keoghan, Mark Rylance"
tt0107290,Jurassic Park,1993,127 min,"Action, Adventure, Sci-Fi",Won 3 Oscars. 44 wins & 27 nominations total,"$407,185,075 ","[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '68/100'}]","English, Spanish",Steven Spielberg,"Sam Neill, Laura Dern, Jeff Goldblum"
tt4649466,Kingsman: The Golden Circle,2017,141 min,"Action, Adventure, Comedy",2 wins & 14 nominations,"$100,234,838 ","[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '44/100'}]","English, Italian, Swedish",Matthew Vaughn,"Taron Egerton, Colin Firth, Mark Strong"
tt0096446,Willow,1988,126 min,"Action, Adventure, Drama",Nominated for 2 Oscars. 1 win & 12 nominations total,"$57,269,863 ","[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",English,Ron Howard,"Val Kilmer, Joanne Whalley, Warwick Davis"
